guid,template_id,heuristic,template,subtemplate_id,label,premise,hypothesis,high_quality,extreme_low_quality,var_list,example_premise,example_hypotheis,example_high_quality,example_extreme_low_quality
0,0,lexical_overlap,le_around_prepositional_phrase,0,entailment,the N1 P1 the N2 Vt1 the N3.,the N1 Vt1 the N3.,the N1 P1 the N2 N1_Be1 still the N1.,N1 N2 N1,"['N1', 'N2', 'N3', 'Vt1', 'P1', 'N1_Be1']",the students next to the athlete contacted the architects .,the students contacted the architects .,the students next to the athlete are still the students .,students athlete students
1,0,lexical_overlap,le_around_prepositional_phrase,0,entailment,the N1 P1 the N2 Vt1 the N3.,the N1 Vt1 the N3.,the N1 P1 the N2 N1_Be1 still the N1.,N1 N2 N1,"['N1', 'N2', 'N3', 'Vt1', 'P1', 'N1_Be1']",the athletes by the scientists brought the potter .,the athletes brought the potter .,the athletes by the scientists are still the athletes .,athletes scientists athletes
2,0,lexical_overlap,le_around_prepositional_phrase,0,entailment,the N1 P1 the N2 Vt1 the N3.,the N1 Vt1 the N3.,the N1 P1 the N2 N1_Be1 still the N1.,N1 N2 N1,"['N1', 'N2', 'N3', 'Vt1', 'P1', 'N1_Be1']",the colorists next to the athletes admired the senators .,the colorists admired the senators .,the colorists next to the athletes are still the colorists .,colorists athletes colorists
3,0,lexical_overlap,le_around_prepositional_phrase,0,entailment,the N1 P1 the N2 Vt1 the N3.,the N1 Vt1 the N3.,the N1 P1 the N2 N1_Be1 still the N1.,N1 N2 N1,"['N1', 'N2', 'N3', 'Vt1', 'P1', 'N1_Be1']",the technologist next to the architect needed the colorists .,the technologist needed the colorists .,the technologist next to the architect is still the technologist .,technologist architect technologist
4,0,lexical_overlap,le_around_prepositional_phrase,0,entailment,the N1 P1 the N2 Vt1 the N3.,the N1 Vt1 the N3.,the N1 P1 the N2 N1_Be1 still the N1.,N1 N2 N1,"['N1', 'N2', 'N3', 'Vt1', 'P1', 'N1_Be1']",the athlete by the judges contacted the officer .,the athlete contacted the officer .,the athlete by the judges is still the athlete .,athlete judges athlete
5,0,lexical_overlap,le_around_prepositional_phrase,0,entailment,the N1 P1 the N2 Vt1 the N3.,the N1 Vt1 the N3.,the N1 P1 the N2 N1_Be1 still the N1.,N1 N2 N1,"['N1', 'N2', 'N3', 'Vt1', 'P1', 'N1_Be1']",the psychotherapist by the engineers admired the baker .,the psychotherapist admired the baker .,the psychotherapist by the engineers is still the psychotherapist .,psychotherapist engineers psychotherapist
6,0,lexical_overlap,le_around_prepositional_phrase,0,entailment,the N1 P1 the N2 Vt1 the N3.,the N1 Vt1 the N3.,the N1 P1 the N2 N1_Be1 still the N1.,N1 N2 N1,"['N1', 'N2', 'N3', 'Vt1', 'P1', 'N1_Be1']",the photojournalists next to the senator addressed the dancer .,the photojournalists addressed the dancer .,the photojournalists next to the senator are still the photojournalists .,photojournalists senator photojournalists
7,0,lexical_overlap,le_around_prepositional_phrase,0,entailment,the N1 P1 the N2 Vt1 the N3.,the N1 Vt1 the N3.,the N1 P1 the N2 N1_Be1 still the N1.,N1 N2 N1,"['N1', 'N2', 'N3', 'Vt1', 'P1', 'N1_Be1']",the illustrators next to the photojournalists contacted the athletes .,the illustrators contacted the athletes .,the illustrators next to the photojournalists are still the illustrators .,illustrators photojournalists illustrators
160,1,lexical_overlap,le_around_relative_clause,0,entailment,the N1 Rels1 Vi1 Vt2 the N2.,the N1 Vt2 the N2.,the N1 Rels1 Vi1 N1_Be1 still the N1.,N1 Vi1 N1,"['N1', 'Rels1', 'Vi1', 'Vt2', 'N2', 'N1_Be1']",the photographers that existed addressed the dancer .,the photographers addressed the dancer .,the photographers that existed are still the photographers .,photographers existed photographers
161,1,lexical_overlap,le_around_relative_clause,0,entailment,the N1 Rels1 Vi1 Vt2 the N2.,the N1 Vt2 the N2.,the N1 Rels1 Vi1 N1_Be1 still the N1.,N1 Vi1 N1,"['N1', 'Rels1', 'Vi1', 'Vt2', 'N2', 'N1_Be1']",the baker that talked found the stylist .,the baker found the stylist .,the baker that talked is still the baker .,baker talked baker
162,1,lexical_overlap,le_around_relative_clause,0,entailment,the N1 Rels1 Vi1 Vt2 the N2.,the N1 Vt2 the N2.,the N1 Rels1 Vi1 N1_Be1 still the N1.,N1 Vi1 N1,"['N1', 'Rels1', 'Vi1', 'Vt2', 'N2', 'N1_Be1']",the illustrators who smiled needed the dancers .,the illustrators needed the dancers .,the illustrators who smiled are still the illustrators .,illustrators smiled illustrators
163,1,lexical_overlap,le_around_relative_clause,0,entailment,the N1 Rels1 Vi1 Vt2 the N2.,the N1 Vt2 the N2.,the N1 Rels1 Vi1 N1_Be1 still the N1.,N1 Vi1 N1,"['N1', 'Rels1', 'Vi1', 'Vt2', 'N2', 'N1_Be1']",the scientist who smiled brought the actors .,the scientist brought the actors .,the scientist who smiled is still the scientist .,scientist smiled scientist
